stname,tractfips,Tract_2000,Tract_2010,municipality,city_neighborhood,est_obesity_rate,is_pittsburgh
Pennsylvania,42003010300,10300,,Pittsburgh  ,Bluff,0.246935849,1
Pennsylvania,42003020100,20100,,Pittsburgh  ,Central Business District,0.668012041,1
Pennsylvania,42003020300,20300,,Pittsburgh  ,Strip District,0.369996439,1
Pennsylvania,42003030500,30500,,Pittsburgh  ,Crawford Roberts,0.488690884,1
Pennsylvania,42003040200,40200,,Pittsburgh  ,West oakland,0.366390731,1
Pennsylvania,42003040400,40400,,Pittsburgh  ,North oakland,0.155867454,1
Pennsylvania,42003040500,40500,,Pittsburgh  ,Central Oakland,0.112780394,1
Pennsylvania,42003040600,40600,,Pittsburgh  ,Central Oakland,0.144556151,1
Pennsylvania,42003040900,40900,,Pittsburgh  ,South Oakland,0.281331416,1
Pennsylvania,42003050100,50100,,Pittsburgh  ,Middle Hill,0.608099152,1
Pennsylvania,42003050600,50600,,Pittsburgh  ,Upper Hill,0.455786185,1
Pennsylvania,42003050900,50900,,Pittsburgh  ,Bedford Dwellings,0.636222228,1
Pennsylvania,42003051000,51000,,Pittsburgh  ,Terrace Village,0.555072799,1
Pennsylvania,42003051100,51100,,Pittsburgh  ,Terrace Village,0.793133039,1
Pennsylvania,42003060300,60300,,Pittsburgh  ,Lower Lawrenceville,0.319568655,1
Pennsylvania,42003060500,60500,,Pittsburgh  ,Polish Hill,0.320700606,1
Pennsylvania,42003070300,70300,,Pittsburgh  ,Shadyside,0.128451261,1
Pennsylvania,42003070500,70500,,Pittsburgh  ,Shadyside,0.130383004,1
Pennsylvania,42003070600,70600,,Pittsburgh  ,Shadyside,0.11853283,1
Pennsylvania,42003070800,70800,,Pittsburgh  ,Shadyside,0.134519846,1
Pennsylvania,42003070900,70900,,Pittsburgh  ,Shadyside,0.1267053,1
Pennsylvania,42003080200,80200,,Pittsburgh  ,Bloomfield,0.281425391,1
Pennsylvania,42003080400,80400,,Pittsburgh  ,Bloomfield,0.185609561,1
Pennsylvania,42003080600,80600,,Pittsburgh  ,Bloomfield,0.181223911,1
Pennsylvania,42003080700,80700,,Pittsburgh  ,Friendship,0.220125706,1
Pennsylvania,42003080900,80900,,Pittsburgh  ,Bloomfield,0.233013709,1
Pennsylvania,42003090100,90100,,Pittsburgh  ,Central Lawrenceville,0.298582516,1
Pennsylvania,42003090200,90200,,Pittsburgh  ,Central Lawrenceville,0.287296375,1
Pennsylvania,42003090300,90300,,Pittsburgh  ,Bloomfield,0.280485189,1
Pennsylvania,42003100500,100500,,Pittsburgh  ,Stanton Heights,0.366929026,1
Pennsylvania,42003101100,101100,,Pittsburgh  ,Upper Lawrenceville,0.33469413,1
Pennsylvania,42003101400,101400,,Pittsburgh  ,Morningside,0.275901608,1
Pennsylvania,42003101600,101600,,Pittsburgh  ,Garfield,0.576886305,1
Pennsylvania,42003101700,101700,,Pittsburgh  ,Garfield,0.45057975,1
Pennsylvania,42003101800,101800,,Pittsburgh  ,Stanton Heights,0.28363609,1
Pennsylvania,42003110200,110200,,Pittsburgh  ,Highland Park,0.243037233,1
Pennsylvania,42003110600,110600,,Pittsburgh  ,Highland Park,0.217419795,1
Pennsylvania,42003111300,111300,,Pittsburgh  ,East Liberty,0.414946833,1
Pennsylvania,42003111400,111400,,Pittsburgh  ,Garfield,0.547886004,1
Pennsylvania,42003111500,111500,,Pittsburgh  ,East Liberty,0.445041326,1
Pennsylvania,42003120400,120400,,Pittsburgh  ,Larimer,0.560447807,1
Pennsylvania,42003120700,120700,,Pittsburgh  ,Homewood West,0.565709871,1
Pennsylvania,42003120800,120800,,Pittsburgh  ,Larimer,0.47467107,1
Pennsylvania,42003130100,130100,,Pittsburgh  ,Homewood North,0.619584038,1
Pennsylvania,42003130200,130200,,Pittsburgh  ,Homewood North,0.573265754,1
Pennsylvania,42003130300,130300,,Pittsburgh  ,Homewood South,0.558808603,1
Pennsylvania,42003130400,130400,,Pittsburgh  ,Homewood South,0.660584734,1
Pennsylvania,42003130600,130600,,Pittsburgh  ,East Hills,0.562136738,1
Pennsylvania,42003140100,140100,,Pittsburgh  ,Squirrel Hill North,0.080288025,1
